Customer ID,Age,Gender,Tenure (Years),Region,Monthly Data Usage (MB),Call Duration (Minutes),SMS Sent,M-Pesa Transactions,Customer Service Interactions,Subscription Type,Churn Indicator,Last Month Data Usage (MB),Second Last Month Data Usage (MB),Third Last Month Data Usage (MB),Last Month Call Duration (Minutes),Second Last Month Call Duration (Minutes),Third Last Month Call Duration (Minutes),Last Month SMS Sent,Second Last Month SMS Sent,Third Last Month SMS Sent,Promotions,Payment Method,Data Rate per MB,Call Rate per Minute,SMS Rate per Message,Churn History,Engagement Score,Avg Monthly Data Usage (MB),Avg Call Duration (Minutes),Avg SMS Sent,Monthly Spend,Previous Churn,Churn Probability,Tenure (Months),Customer Interaction Ratio,Region Encoding,Gender Encoding,Promotions Received,High Churn Region
CUST0001,56,Male,2,Mombasa,6768,434,107,35,9,Prepaid,0,5702,9244,3154,908,853,440,37,335,92,1,Credit Card,0.05,0.02,0.01,1,7344,6033.333333333333,733.6666666666666,154.66666666666666,348.15000000000003,1,0.5,24,0.375,1,1,1,0
CUST0002,69,Male,10,Mombasa,1410,383,331,17,8,Prepaid,0,5844,8137,1490,177,884,946,42,145,459,5,Credit Card,0.05,0.02,0.01,0,2141,5157.0,669.0,215.33333333333334,81.47,0,0.0,120,0.06666666666666667,1,1,1,0
CUST0003,46,Female,9,Nakuru,4840,559,422,89,9,Prepaid,0,5007,1160,8320,868,796,780,116,309,64,1,Debit Card,0.05,0.02,0.01,0,5910,4829.0,814.6666666666666,163.0,257.40000000000003,0,0.0,108,0.08333333333333333,3,0,1,0
CUST0004,32,Female,8,Nakuru,4509,193,89,180,9,Postpaid,0,5330,9407,2660,5,1,895,404,126,320,4,Mobile Money,0.05,0.02,0.01,0,4971,5799.0,300.3333333333333,283.3333333333333,230.20000000000002,0,0.0,96,0.09375,3,0,1,0
CUST0005,60,Female,9,Nairobi,7128,735,204,198,0,Prepaid,0,617,7422,6240,852,232,919,474,174,9,5,Mobile Money,0.05,0.02,0.01,0,8265,4759.666666666667,667.6666666666666,219.0,373.14000000000004,0,0.0,108,0.0,2,0,1,0
CUST0006,25,Female,5,Nairobi,2669,647,378,0,1,Postpaid,0,981,8604,4957,306,368,650,189,133,401,4,Credit Card,0.05,0.02,0.01,1,3694,4847.333333333333,441.3333333333333,241.0,150.17000000000002,1,0.5,60,0.016666666666666666,2,0,1,0
CUST0007,38,Female,2,Nakuru,2672,533,455,126,4,Postpaid,0,4787,6837,2563,547,250,563,45,65,302,1,Debit Card,0.05,0.02,0.01,0,3786,4729.0,453.3333333333333,137.33333333333334,148.81,0,0.0,24,0.16666666666666666,3,0,1,0
CUST0008,56,Male,8,Nairobi,6168,517,446,185,2,Prepaid,0,7302,3029,2477,326,945,528,453,392,321,5,Credit Card,0.05,0.02,0.01,0,7316,4269.333333333333,599.6666666666666,388.6666666666667,323.2,0,0.0,96,0.020833333333333332,2,1,1,0
CUST0009,36,Female,6,Kisumu,6813,715,447,89,1,Prepaid,0,8798,4470,9067,355,832,676,165,451,304,4,Mobile Money,0.05,0.02,0.01,0,8064,7445.0,621.0,306.6666666666667,359.4200000000001,0,0.0,72,0.013888888888888888,0,0,1,0
CUST0010,40,Female,8,Kisumu,8815,750,444,86,0,Postpaid,1,4977,3907,9433,792,107,12,304,364,455,3,Mobile Money,0.05,0.02,0.01,1,10095,6105.666666666667,303.6666666666667,374.3333333333333,460.19,1,1.0,96,0.0,0,0,1,0
